customer_id,customer_name,registration_date,preferred_zone,customer_segment
CUST00052,Customer_52,2024-09-16,Al Rashidiya (Ajman),New
CUST00053,Customer_53,2024-11-16,Business Bay (Dubai),Premium
CUST00054,Customer_54,2024-09-16,Al Reem (Abu Dhabi),New
CUST00055,Customer_55,2024-07-10,Al Majaz (Sharjah),New
CUST00056,Customer_56,2024-09-28,Al Rashidiya (Ajman),New
CUST00057,Customer_57,2024-06-14,Khalidiya (Abu Dhabi),New
CUST00058,Customer_58,2024-07-04,Al Rashidiya (Ajman),VIP
CUST00059,Customer_59,2024-06-06,Deira (Dubai),New
CUST00060,Customer_60,2024-10-17,JBR (Dubai),New
CUST00061,Customer_61,2024-09-05,Al Nuaimiya (Ajman),New
CUST00062,Customer_62,2024-09-29,Al Majaz (Sharjah),New
CUST00063,Customer_63,2024-12-03,Khalidiya (Abu Dhabi),VIP
CUST00064,Customer_64,2024-03-25,Business Bay (Dubai),Regular
CUST00065,Customer_65,2024-11-06,Corniche (Abu Dhabi),VIP
CUST00066,Customer_66,2024-10-03,Al Majaz (Sharjah),Premium
CUST00067,Customer_67,2024-04-12,Al Qasimia (Sharjah),Regular
CUST00068,Customer_68,2024-12-09,Al Nahda (Sharjah),Regular
CUST00069,Customer_69,2024-09-21,Khalidiya (Abu Dhabi),New
CUST00070,Customer_70,2024-04-25,JBR (Dubai),Regular
CUST00071,Customer_71,2024-10-28,Yas Island (Abu Dhabi),New
CUST00072,Customer_72,2024-04-22,Marina (Dubai),New
CUST00073,Customer_73,2024-11-19,Marina (Dubai),New
CUST00074,Customer_74,2024-01-17,Al Nuaimiya (Ajman),Regular
CUST00075,Customer_75,2024-09-20,Deira (Dubai),New
CUST00076,Customer_76,2024-09-05,Deira (Dubai),Regular
CUST00077,Customer_77,2024-10-19,Al Reem (Abu Dhabi),Regular
CUST00078,Customer_78,2024-08-30,Al Majaz (Sharjah),Regular
CUST00079,Customer_79,2024-02-18,JBR (Dubai),Regular
CUST00080,Customer_80,2024-06-30,Corniche (Abu Dhabi),Regular
CUST00081,Customer_81,2024-01-28,Al Nahda (Sharjah),Regular
CUST00082,Customer_82,2024-11-26,JBR (Dubai),New
CUST00083,Customer_83,2024-06-22,Al Majaz (Sharjah),Premium
CUST00084,Customer_84,2024-05-07,Deira (Dubai),New
CUST00085,Customer_85,2024-08-17,Downtown (Dubai),Regular
CUST00086,Customer_86,2024-05-22,Khalidiya (Abu Dhabi),New
CUST00087,Customer_87,2024-02-08,Khalidiya (Abu Dhabi),Premium
CUST00088,Customer_88,2024-10-08,JBR (Dubai),New
CUST00089,Customer_89,2024-10-03,Al Nuaimiya (Ajman),New
CUST00090,Customer_90,2024-02-17,Al Rashidiya (Ajman),Premium
CUST00091,Customer_91,2024-05-01,Downtown (Dubai),Regular
CUST00092,Customer_92,2024-09-03,Deira (Dubai),Premium
CUST00093,Customer_93,2024-01-31,Downtown (Dubai),Regular
CUST00094,Customer_94,2024-07-18,Business Bay (Dubai),VIP
CUST00095,Customer_95,2024-08-20,Business Bay (Dubai),Regular
CUST00096,Customer_96,2024-10-11,Al Nahda (Sharjah),Premium
CUST00097,Customer_97,2024-03-20,Deira (Dubai),New
CUST00098,Customer_98,2024-01-30,Al Reem (Abu Dhabi),Premium
CUST00099,Customer_99,2024-02-01,Al Qasimia (Sharjah),Regular
CUST00100,Customer_100,2024-01-26,Al Reem (Abu Dhabi),Regular
CUST00101,Customer_101,2024-09-28,Downtown (Dubai),New
CUST00102,Customer_102,2024-09-17,JBR (Dubai),Premium
CUST00103,Customer_103,2024-02-05,Al Reem (Abu Dhabi),New
CUST00104,Customer_104,2024-04-30,Corniche (Abu Dhabi),New
CUST00105,Customer_105,2024-10-18,Deira (Dubai),Regular
CUST00106,Customer_106,2024-01-21,Al Reem (Abu Dhabi),New
CUST00107,Customer_107,2024-12-02,Al Reem (Abu Dhabi),Regular
CUST00108,Customer_108,2024-06-10,Al Rashidiya (Ajman),New
CUST00109,Customer_109,2024-12-08,Al Qasimia (Sharjah),Regular
CUST00110,Customer_110,2024-05-15,Corniche (Abu Dhabi),New
CUST00111,Customer_111,2024-11-26,Business Bay (Dubai),Regular
CUST00112,Customer_112,2024-02-07,Marina (Dubai),Regular
CUST00113,Customer_113,2024-10-15,JBR (Dubai),New
CUST00114,Customer_114,2024-04-19,Yas Island (Abu Dhabi),New
CUST00115,Customer_115,2024-06-27,Al Rashidiya (Ajman),New
CUST00116,Customer_116,2024-05-05,JLT (Dubai),New
CUST00117,Customer_117,2024-08-12,Al Nuaimiya (Ajman),Regular
CUST00118,Customer_118,2024-06-03,Al Reem (Abu Dhabi),VIP
CUST00119,Customer_119,2024-11-30,Yas Island (Abu Dhabi),New
CUST00120,Customer_120,2024-10-10,Business Bay (Dubai),VIP
CUST00121,Customer_121,2024-02-23,Al Rashidiya (Ajman),New
CUST00122,Customer_122,2024-02-29,Al Rashidiya (Ajman),New
CUST00123,Customer_123,2024-10-10,Downtown (Dubai),New
CUST00124,Customer_124,2024-11-05,Deira (Dubai),Premium
CUST00125,Customer_125,2024-04-14,Al Nahda (Sharjah),Regular
CUST00126,Customer_126,2024-05-15,Yas Island (Abu Dhabi),Regular
CUST00127,Customer_127,2024-01-27,JBR (Dubai),Regular
CUST00128,Customer_128,2024-05-21,Marina (Dubai),New
CUST00129,Customer_129,2024-03-07,Al Nahda (Sharjah),VIP
CUST00130,Customer_130,2024-03-23,Al Qasimia (Sharjah),Regular
CUST00131,Customer_131,2024-12-27,Corniche (Abu Dhabi),Regular
CUST00132,Customer_132,2024-02-27,JBR (Dubai),VIP
CUST00133,Customer_133,2024-12-19,Al Rashidiya (Ajman),New
CUST00134,Customer_134,2024-01-19,Al Nuaimiya (Ajman),Regular
CUST00135,Customer_135,2024-10-09,Downtown (Dubai),Regular
CUST00136,Customer_136,2024-01-22,Business Bay (Dubai),Regular
CUST00137,Customer_137,2024-01-21,Al Rashidiya (Ajman),Regular
CUST00138,Customer_138,2024-12-15,Deira (Dubai),Regular
CUST00139,Customer_139,2024-06-30,Al Majaz (Sharjah),Regular
CUST00140,Customer_140,2024-07-27,Al Reem (Abu Dhabi),Premium
CUST00141,Customer_141,2024-05-01,Al Nuaimiya (Ajman),New
CUST00142,Customer_142,2024-03-31,Al Rashidiya (Ajman),Regular
CUST00143,Customer_143,2024-04-01,Al Qasimia (Sharjah),VIP
CUST00144,Customer_144,2024-07-29,Al Majaz (Sharjah),Regular
CUST00145,Customer_145,2024-05-07,Business Bay (Dubai),New
CUST00146,Customer_146,2024-12-25,JBR (Dubai),Regular
CUST00147,Customer_147,2024-01-20,Al Nuaimiya (Ajman),Regular
CUST00148,Customer_148,2024-04-12,Al Nuaimiya (Ajman),VIP
CUST00149,Customer_149,2024-06-28,Business Bay (Dubai),Premium
CUST00150,Customer_150,2024-04-26,Deira (Dubai),New
CUST00151,Customer_151,2024-04-08,Corniche (Abu Dhabi),Regular
CUST00152,Customer_152,2024-02-05,Al Majaz (Sharjah),New
CUST00153,Customer_153,2024-11-24,Yas Island (Abu Dhabi),Regular
CUST00154,Customer_154,2024-10-01,JLT (Dubai),VIP
CUST00155,Customer_155,2024-02-29,Al Rashidiya (Ajman),VIP
CUST00156,Customer_156,2024-04-01,Al Reem (Abu Dhabi),VIP
CUST00157,Customer_157,2024-05-15,Marina (Dubai),New
CUST00158,Customer_158,2024-08-10,JLT (Dubai),Premium
CUST00159,Customer_159,2024-06-09,Corniche (Abu Dhabi),Regular
CUST00160,Customer_160,2024-09-18,JBR (Dubai),Regular
CUST00161,Customer_161,2024-10-22,Deira (Dubai),New
CUST00162,Customer_162,2024-12-28,Corniche (Abu Dhabi),New
CUST00163,Customer_163,2024-10-02,Al Nahda (Sharjah),Premium
CUST00164,Customer_164,2024-12-09,Deira (Dubai),Regular
CUST00165,Customer_165,2024-02-05,Al Nahda (Sharjah),VIP
CUST00166,Customer_166,2024-11-15,JLT (Dubai),Regular
CUST00167,Customer_167,2024-03-04,Al Qasimia (Sharjah),VIP
CUST00168,Customer_168,2024-09-16,Business Bay (Dubai),Regular
CUST00169,Customer_169,2024-06-16,Corniche (Abu Dhabi),Regular
CUST00170,Customer_170,2024-10-10,Downtown (Dubai),New
CUST00171,Customer_171,2024-12-06,Corniche (Abu Dhabi),Regular
CUST00172,Customer_172,2024-03-30,Al Reem (Abu Dhabi),Regular
CUST00173,Customer_173,2024-07-26,Yas Island (Abu Dhabi),Premium
CUST00174,Customer_174,2024-06-04,Business Bay (Dubai),New
CUST00175,Customer_175,2024-10-23,Al Reem (Abu Dhabi),Regular
CUST00176,Customer_176,2024-08-26,Khalidiya (Abu Dhabi),Regular
CUST00177,Customer_177,2024-04-19,Yas Island (Abu Dhabi),Regular
CUST00178,Customer_178,2024-03-27,Al Nahda (Sharjah),New
CUST00179,Customer_179,2024-09-20,Al Nahda (Sharjah),Regular
CUST00180,Customer_180,2024-06-20,JBR (Dubai),Premium
CUST00181,Customer_181,2024-04-30,Al Nahda (Sharjah),Regular
CUST00182,Customer_182,2024-04-11,Downtown (Dubai),New
CUST00183,Customer_183,2024-05-05,Khalidiya (Abu Dhabi),Regular
CUST00184,Customer_184,2024-02-07,Khalidiya (Abu Dhabi),Regular
CUST00185,Customer_185,2024-11-18,Al Reem (Abu Dhabi),New
CUST00186,Customer_186,2024-12-22,Corniche (Abu Dhabi),Regular
CUST00187,Customer_187,2024-05-04,Downtown (Dubai),Regular
CUST00188,Customer_188,2024-01-03,Al Rashidiya (Ajman),Premium
CUST00189,Customer_189,2024-02-24,Al Majaz (Sharjah),Regular
CUST00190,Customer_190,2024-03-31,Al Majaz (Sharjah),VIP
CUST00191,Customer_191,2024-09-22,Khalidiya (Abu Dhabi),New
CUST00192,Customer_192,2024-05-07,Al Rashidiya (Ajman),Premium
CUST00193,Customer_193,2024-08-21,Downtown (Dubai),Premium
CUST00194,Customer_194,2024-12-07,Yas Island (Abu Dhabi),VIP
CUST00195,Customer_195,2024-10-31,JLT (Dubai),VIP
CUST00196,Customer_196,2024-08-14,Al Reem (Abu Dhabi),Premium
CUST00197,Customer_197,2024-09-15,Corniche (Abu Dhabi),Premium
CUST00198,Customer_198,2024-10-07,Khalidiya (Abu Dhabi),Premium
CUST00199,Customer_199,2024-08-31,Khalidiya (Abu Dhabi),New
CUST00200,Customer_200,2024-05-06,Al Nuaimiya (Ajman),Regular
CUST00201,Customer_201,2024-09-23,Khalidiya (Abu Dhabi),Regular
CUST00202,Customer_202,2024-05-20,Khalidiya (Abu Dhabi),New
CUST00203,Customer_203,2024-05-26,Deira (Dubai),New
CUST00204,Customer_204,2024-06-12,Al Rashidiya (Ajman),Regular
CUST00205,Customer_205,2024-03-11,Downtown (Dubai),New
CUST00206,Customer_206,2024-12-21,Downtown (Dubai),Premium
CUST00207,Customer_207,2024-02-02,Corniche (Abu Dhabi),Regular
CUST00208,Customer_208,2024-10-04,Khalidiya (Abu Dhabi),Regular
CUST00209,Customer_209,2024-04-15,Al Nuaimiya (Ajman),Regular
CUST00210,Customer_210,2024-10-26,Al Qasimia (Sharjah),New
CUST00211,Customer_211,2024-10-21,Corniche (Abu Dhabi),Regular
CUST00212,Customer_212,2024-06-29,Business Bay (Dubai),Premium
CUST00213,Customer_213,2024-08-02,Yas Island (Abu Dhabi),Premium
CUST00214,Customer_214,2024-10-06,Al Majaz (Sharjah),Regular
CUST00215,Customer_215,2024-04-22,Khalidiya (Abu Dhabi),New
CUST00216,Customer_216,2024-08-11,Khalidiya (Abu Dhabi),New
CUST00217,Customer_217,2024-06-21,Al Nahda (Sharjah),Regular
CUST00218,Customer_218,2024-07-26,Al Qasimia (Sharjah),New
CUST00219,Customer_219,2024-08-27,Al Rashidiya (Ajman),New
CUST00220,Customer_220,2024-11-14,Yas Island (Abu Dhabi),New
CUST00221,Customer_221,2024-07-20,Al Reem (Abu Dhabi),Regular
CUST00222,Customer_222,2024-01-14,JBR (Dubai),Regular
CUST00223,Customer_223,2024-03-10,Al Nuaimiya (Ajman),Regular
CUST00224,Customer_224,2024-01-26,Business Bay (Dubai),Regular
CUST00225,Customer_225,2024-04-18,Khalidiya (Abu Dhabi),Regular
CUST00226,Customer_226,2024-07-13,Business Bay (Dubai),Premium
CUST00227,Customer_227,2024-08-03,Business Bay (Dubai),Premium
CUST00228,Customer_228,2024-08-28,Marina (Dubai),Premium
CUST00229,Customer_229,2024-01-27,JLT (Dubai),New
CUST00230,Customer_230,2024-02-05,Al Majaz (Sharjah),VIP
CUST00231,Customer_231,2024-01-21,Al Majaz (Sharjah),New
CUST00232,Customer_232,2024-05-06,Deira (Dubai),Premium
CUST00233,Customer_233,2024-11-14,Downtown (Dubai),New
CUST00234,Customer_234,2024-08-30,Al Nahda (Sharjah),New
CUST00235,Customer_235,2024-04-21,Khalidiya (Abu Dhabi),Regular
CUST00236,Customer_236,2024-07-07,Downtown (Dubai),Regular
CUST00237,Customer_237,2024-02-28,Al Majaz (Sharjah),Premium
CUST00238,Customer_238,2024-06-08,JBR (Dubai),Regular
CUST00239,Customer_239,2024-06-08,Al Reem (Abu Dhabi),Regular
CUST00240,Customer_240,2024-07-11,Corniche (Abu Dhabi),VIP
CUST00241,Customer_241,2024-04-11,JBR (Dubai),Regular
CUST00242,Customer_242,2024-11-17,Deira (Dubai),New
CUST00243,Customer_243,2024-06-03,Al Nuaimiya (Ajman),Regular
CUST00244,Customer_244,2024-03-02,Al Majaz (Sharjah),VIP
CUST00245,Customer_245,2024-01-22,JLT (Dubai),Regular
CUST00246,Customer_246,2024-12-04,JLT (Dubai),New
CUST00247,Customer_247,2024-11-27,JLT (Dubai),New
CUST00248,Customer_248,2024-08-03,Al Nuaimiya (Ajman),Regular
CUST00249,Customer_249,2024-08-09,JLT (Dubai),Regular
CUST00250,Customer_250,2024-08-23,Al Qasimia (Sharjah),New
CUST00251,Customer_251,2024-03-31,Al Qasimia (Sharjah),Regular
CUST00252,Customer_252,2024-11-29,Business Bay (Dubai),Regular
CUST00253,Customer_253,2024-10-02,Al Majaz (Sharjah),Regular
CUST00254,Customer_254,2024-08-11,Al Nuaimiya (Ajman),Premium
CUST00255,Customer_255,2024-05-17,JLT (Dubai),Premium
CUST00256,Customer_256,2024-02-14,Business Bay (Dubai),Premium
CUST00257,Customer_257,2024-05-04,Al Majaz (Sharjah),Regular
CUST00258,Customer_258,2024-11-08,Al Nahda (Sharjah),Regular
CUST00259,Customer_259,2024-01-15,Khalidiya (Abu Dhabi),Premium
CUST00260,Customer_260,2024-04-03,Khalidiya (Abu Dhabi),New
CUST00261,Customer_261,2024-05-12,JLT (Dubai),New
CUST00262,Customer_262,2024-11-01,Al Qasimia (Sharjah),Premium
CUST00263,Customer_263,2024-10-11,Marina (Dubai),Regular
CUST00264,Customer_264,2024-04-07,JBR (Dubai),New
CUST00265,Customer_265,2024-07-27,Khalidiya (Abu Dhabi),Regular
CUST00266,Customer_266,2024-05-03,Al Qasimia (Sharjah),Regular
CUST00267,Customer_267,2024-12-30,Khalidiya (Abu Dhabi),Regular
CUST00268,Customer_268,2024-01-09,JBR (Dubai),New
CUST00269,Customer_269,2024-07-26,Al Qasimia (Sharjah),New
CUST00270,Customer_270,2024-12-05,Al Reem (Abu Dhabi),Regular
CUST00271,Customer_271,2024-10-10,Yas Island (Abu Dhabi),Regular
CUST00272,Customer_272,2024-10-08,JLT (Dubai),Regular
CUST00273,Customer_273,2024-08-20,Business Bay (Dubai),Regular
CUST00274,Customer_274,2024-04-28,JBR (Dubai),Premium
CUST00275,Customer_275,2024-06-10,JBR (Dubai),Premium
CUST00276,Customer_276,2024-12-19,Downtown (Dubai),New
CUST00277,Customer_277,2024-09-04,Business Bay (Dubai),Premium
CUST00278,Customer_278,2024-09-25,Al Reem (Abu Dhabi),New
CUST00279,Customer_279,2024-02-21,Al Nuaimiya (Ajman),New
CUST00280,Customer_280,2024-04-26,JLT (Dubai),New
CUST00281,Customer_281,2024-01-08,Al Qasimia (Sharjah),Regular
CUST00282,Customer_282,2024-05-20,Marina (Dubai),VIP
CUST00283,Customer_283,2024-10-10,Business Bay (Dubai),Regular
CUST00284,Customer_284,2024-03-05,Al Nahda (Sharjah),Premium
CUST00285,Customer_285,2024-09-08,JBR (Dubai),Premium
CUST00286,Customer_286,2024-10-20,Business Bay (Dubai),Regular
CUST00287,Customer_287,2024-08-13,JLT (Dubai),New
CUST00288,Customer_288,2024-01-27,Business Bay (Dubai),VIP
CUST00289,Customer_289,2024-09-01,JBR (Dubai),Premium
CUST00290,Customer_290,2024-07-24,Khalidiya (Abu Dhabi),New
CUST00291,Customer_291,2024-11-18,Al Nahda (Sharjah),New
CUST00292,Customer_292,2024-03-17,Al Majaz (Sharjah),Regular
CUST00293,Customer_293,2024-06-04,JBR (Dubai),VIP
CUST00294,Customer_294,2024-03-01,Yas Island (Abu Dhabi),Premium
CUST00295,Customer_295,2024-11-06,Al Reem (Abu Dhabi),Premium
CUST00296,Customer_296,2024-04-25,Al Majaz (Sharjah),Regular
CUST00297,Customer_297,2024-08-18,Al Rashidiya (Ajman),Regular
CUST00298,Customer_298,2024-10-28,Corniche (Abu Dhabi),Regular
CUST00299,Customer_299,2024-11-13,Marina (Dubai),Regular
CUST00300,Customer_300,2024-02-20,Al Majaz (Sharjah),New
CUST00301,Customer_301,2024-04-18,Business Bay (Dubai),Regular
CUST00302,Customer_302,2024-03-21,Deira (Dubai),New
CUST00303,Customer_303,2024-02-08,Downtown (Dubai),New
CUST00304,Customer_304,2024-08-18,Al Qasimia (Sharjah),Regular
CUST00305,Customer_305,2024-05-29,Marina (Dubai),New
CUST00306,Customer_306,2024-12-27,Business Bay (Dubai),Premium
CUST00307,Customer_307,2024-08-20,JBR (Dubai),Regular
CUST00308,Customer_308,2024-05-15,Al Majaz (Sharjah),Premium
CUST00309,Customer_309,2024-10-28,Al Nahda (Sharjah),Premium
CUST00310,Customer_310,2024-04-11,Corniche (Abu Dhabi),New
CUST00311,Customer_311,2024-04-25,Al Nahda (Sharjah),New
CUST00312,Customer_312,2024-05-16,Al Nuaimiya (Ajman),New
CUST00313,Customer_313,2024-01-31,Downtown (Dubai),Premium
CUST00314,Customer_314,2024-10-31,Al Qasimia (Sharjah),Premium
CUST00315,Customer_315,2024-05-27,Khalidiya (Abu Dhabi),New
CUST00316,Customer_316,2024-12-18,Business Bay (Dubai),Regular
CUST00317,Customer_317,2024-05-19,Yas Island (Abu Dhabi),Regular
CUST00318,Customer_318,2024-08-12,JBR (Dubai),Regular
CUST00319,Customer_319,2024-08-09,Al Qasimia (Sharjah),Regular
CUST00320,Customer_320,2024-05-08,Marina (Dubai),New
CUST00321,Customer_321,2024-12-11,Al Nuaimiya (Ajman),Premium
CUST00322,Customer_322,2024-10-27,Marina (Dubai),VIP
CUST00323,Customer_323,2024-12-10,Al Nuaimiya (Ajman),New
CUST00324,Customer_324,2024-01-21,Al Majaz (Sharjah),Premium
CUST00325,Customer_325,2024-08-28,Yas Island (Abu Dhabi),Regular
CUST00326,Customer_326,2024-05-22,Downtown (Dubai),VIP
CUST00327,Customer_327,2024-08-11,Al Nahda (Sharjah),Premium
CUST00328,Customer_328,2024-02-16,Khalidiya (Abu Dhabi),Regular
CUST00329,Customer_329,2024-06-19,JLT (Dubai),Regular
CUST00330,Customer_330,2024-03-23,JLT (Dubai),Regular
CUST00331,Customer_331,2024-09-10,Business Bay (Dubai),Regular
CUST00332,Customer_332,2024-07-24,Al Nuaimiya (Ajman),Premium
CUST00333,Customer_333,2024-01-19,Khalidiya (Abu Dhabi),New
CUST00334,Customer_334,2024-05-09,JLT (Dubai),New
CUST00335,Customer_335,2024-07-25,Al Nuaimiya (Ajman),Regular
CUST00336,Customer_336,2024-01-01,Al Nahda (Sharjah),Premium
CUST00337,Customer_337,2024-08-24,Corniche (Abu Dhabi),New
CUST00338,Customer_338,2024-09-22,JLT (Dubai),Regular
CUST00339,Customer_339,2024-09-12,Al Nahda (Sharjah),Regular
CUST00340,Customer_340,2024-01-27,Deira (Dubai),New
CUST00341,Customer_341,2024-03-08,Al Rashidiya (Ajman),New
CUST00342,Customer_342,2024-12-23,Khalidiya (Abu Dhabi),New
CUST00343,Customer_343,2024-11-18,Al Reem (Abu Dhabi),Premium
CUST00344,Customer_344,2024-12-29,Downtown (Dubai),Regular
CUST00345,Customer_345,2024-01-08,Yas Island (Abu Dhabi),Regular
CUST00346,Customer_346,2024-04-25,Al Nuaimiya (Ajman),VIP
CUST00347,Customer_347,2024-08-24,JBR (Dubai),Regular
CUST00348,Customer_348,2024-03-19,Khalidiya (Abu Dhabi),VIP
CUST00349,Customer_349,2024-05-29,Yas Island (Abu Dhabi),Premium
CUST00350,Customer_350,2024-07-31,Al Nuaimiya (Ajman),Regular
CUST00351,Customer_351,2024-08-29,Deira (Dubai),Regular
CUST00352,Customer_352,2024-03-15,Corniche (Abu Dhabi),New
CUST00353,Customer_353,2024-11-02,Yas Island (Abu Dhabi),Premium
CUST00354,Customer_354,2024-03-10,Al Nuaimiya (Ajman),New
CUST00355,Customer_355,2024-07-31,JLT (Dubai),VIP
CUST00356,Customer_356,2024-09-16,Business Bay (Dubai),Premium
CUST00357,Customer_357,2024-05-24,Al Qasimia (Sharjah),New
CUST00358,Customer_358,2024-10-27,Al Reem (Abu Dhabi),VIP
CUST00359,Customer_359,2024-09-07,Al Nuaimiya (Ajman),New
CUST00360,Customer_360,2024-10-02,Khalidiya (Abu Dhabi),Regular
CUST00361,Customer_361,2024-10-09,Al Majaz (Sharjah),Regular
CUST00362,Customer_362,2024-08-21,Al Rashidiya (Ajman),Regular
CUST00363,Customer_363,2024-04-06,Al Qasimia (Sharjah),New
CUST00364,Customer_364,2024-07-15,Deira (Dubai),Premium
CUST00365,Customer_365,2024-07-29,Marina (Dubai),Regular
CUST00366,Customer_366,2024-08-30,Al Qasimia (Sharjah),VIP
CUST00367,Customer_367,2024-07-14,Corniche (Abu Dhabi),VIP
CUST00368,Customer_368,2024-11-29,Downtown (Dubai),Regular
CUST00369,Customer_369,2024-01-19,Downtown (Dubai),Regular
CUST00370,Customer_370,2024-10-29,JLT (Dubai),Premium
CUST00371,Customer_371,2024-08-13,JBR (Dubai),Regular
CUST00372,Customer_372,2024-08-21,Marina (Dubai),Premium
CUST00373,Customer_373,2024-07-28,Al Nuaimiya (Ajman),Regular
CUST00374,Customer_374,2024-03-20,JBR (Dubai),Regular
CUST00375,Customer_375,2024-05-15,JLT (Dubai),Regular
CUST00376,Customer_376,2024-07-22,Al Nahda (Sharjah),New
CUST00377,Customer_377,2024-06-17,Al Nuaimiya (Ajman),Regular
CUST00378,Customer_378,2024-09-30,Corniche (Abu Dhabi),VIP
CUST00379,Customer_379,2024-11-16,Al Qasimia (Sharjah),Premium
CUST00380,Customer_380,2024-09-06,Al Nuaimiya (Ajman),Regular
CUST00381,Customer_381,2024-11-12,JBR (Dubai),New
CUST00382,Customer_382,2024-12-16,Al Rashidiya (Ajman),New
CUST00383,Customer_383,2024-04-26,Al Qasimia (Sharjah),New
CUST00384,Customer_384,2024-02-20,Al Majaz (Sharjah),Regular
CUST00385,Customer_385,2024-02-21,Khalidiya (Abu Dhabi),New
CUST00386,Customer_386,2024-06-02,Al Rashidiya (Ajman),New
CUST00387,Customer_387,2024-06-15,Al Majaz (Sharjah),New
CUST00388,Customer_388,2024-07-02,JLT (Dubai),Regular
CUST00389,Customer_389,2024-05-05,Yas Island (Abu Dhabi),Regular
CUST00390,Customer_390,2024-12-15,Al Majaz (Sharjah),New
CUST00391,Customer_391,2024-03-30,JBR (Dubai),Regular
CUST00392,Customer_392,2024-07-14,Al Reem (Abu Dhabi),Regular
CUST00393,Customer_393,2024-09-11,Al Rashidiya (Ajman),Regular
CUST00394,Customer_394,2024-04-28,Khalidiya (Abu Dhabi),Regular
CUST00395,Customer_395,2024-08-23,Business Bay (Dubai),Regular
CUST00396,Customer_396,2024-08-26,Al Rashidiya (Ajman),New
CUST00397,Customer_397,2024-10-06,Downtown (Dubai),New
CUST00398,Customer_398,2024-06-25,Al Reem (Abu Dhabi),New
CUST00399,Customer_399,2024-08-05,Al Qasimia (Sharjah),New
CUST00400,Customer_400,2024-06-03,Deira (Dubai),VIP
