order_id,customer_id,restaurant_id,rider_id,order_time,zone,order_value,promo_code,discount_amount,delivery_fee,status,cancellation_reason
ORD000022,CUST02142,REST0183,RIDER0191,2025-10-25 06:21:00,Al Majaz (Sharjah),147.37,WEEKEND15,22.11,10.42,Delivered,
ORD000023,CUST04762,REST0061,RIDER0069,2025-11-19 12:56:00,Al Majaz (Sharjah),165.53,,,14.96,Delivered,
ORD000024,CUST03570,REST0184,RIDER0225,2025-12-08 19:14:00,Yas Island (Abu Dhabi),252.48,FREESHIP,25.25,8.76,Delivered,
ORD000025,CUST04652,REST0063,RIDER0676,2025-10-08 15:43:00,Al Nahda (Sharjah),49.95,,,12.99,Delivered,
ORD000026,CUST02614,REST0105,RIDER0696,2025-12-21 18:18:00,Al Nahda (Sharjah),61.73,FLASH30,18.52,8.82,Delivered,
ORD000027,CUST01278,REST0104,RIDER0197,2025-11-24 15:24:00,Al Nuaimiya (Ajman),73.6,,,6.24,Delivered,
ORD000028,CUST00267,REST0139,RIDER0709,2025-11-08 22:36:00,Business Bay (Dubai),286.01,SAVE20,57.2,13.42,Cancelled,Restaurant Unavailable
ORD000029,CUST03606,REST0175,RIDER0379,2025-11-15 21:17:00,Al Reem (Abu Dhabi),214.01,,,11.58,Cancelled,Restaurant Unavailable
ORD000030,CUST00578,REST0134,RIDER0487,2025-10-10 11:57:00,Al Nuaimiya (Ajman),69.44,WELCOME10,6.94,6.33,Cancelled,Long Wait Time
ORD000031,CUST01479,REST0034,RIDER0084,2025-11-25 12:11:00,JLT (Dubai),48.89,FLASH30,14.67,9.36,In Progress,
ORD000032,CUST02637,REST0193,RIDER0321,2025-12-23 13:31:00,JBR (Dubai),145.72,FREESHIP,14.57,7.25,Delivered,
ORD000033,CUST02796,REST0099,RIDER0614,2025-11-22 08:25:00,Al Reem (Abu Dhabi),50.48,SAVE20,10.1,11.67,Delivered,
ORD000034,CUST02965,REST0064,RIDER0162,2025-12-17 13:25:00,Al Nuaimiya (Ajman),47.42,NEW50,23.71,9.65,Delivered,
ORD000035,CUST00821,REST0087,RIDER0715,2025-11-19 19:46:00,Al Majaz (Sharjah),53.9,WELCOME10,5.39,7.98,Delivered,
ORD000036,CUST01866,REST0081,RIDER0228,2025-11-25 20:41:00,Business Bay (Dubai),35.31,SAVE20,7.06,10.57,Delivered,
ORD000037,CUST03052,REST0066,RIDER0299,2025-12-23 20:27:00,Al Rashidiya (Ajman),125.87,WEEKEND15,18.88,14.05,Delivered,
ORD000038,CUST04851,REST0159,RIDER0670,2025-12-10 01:24:00,JBR (Dubai),318.78,,47.82,9.15,Delivered,
ORD000039,CUST03610,REST0083,RIDER0457,2025-12-16 19:29:00,Marina (Dubai),192.53,,,14.66,Delivered,
ORD000040,CUST04620,REST0190,RIDER0437,2025-12-19 15:50:00,Deira (Dubai),33.63,FREESHIP,3.36,12.12,Cancelled,Address Issue
ORD000041,CUST03790,REST0182,RIDER0423,2025-10-04 10:40:00,JLT (Dubai),58.38,WELCOME10,5.84,11.03,Delivered,
ORD000042,CUST02928,REST0092,RIDER0285,2025-12-08 15:37:00,Al Majaz (Sharjah),95.63,,,5.6,Delivered,
ORD000043,CUST00973,REST0136,RIDER0704,2025-11-08 20:13:00,JLT (Dubai),64.04,,,13.1,Delivered,
ORD000044,CUST03323,REST0170,RIDER0185,2025-12-10 13:00:00,JLT (Dubai),78.47,SAVE20,15.69,11.73,Delivered,
ORD000045,CUST03081,REST0169,RIDER0019,2025-11-19 23:32:00,Al Reem (Abu Dhabi),60.99,LOYALTY25,15.25,6.27,Delivered,
ORD000046,CUST02973,REST0187,RIDER0730,2025-10-09 17:10:00,Yas Island (Abu Dhabi),298.95,SAVE20,59.79,5.11,Delivered,
ORD000047,CUST02433,REST0168,RIDER0271,2025-12-25 14:34:00,JLT (Dubai),112.96,,,14.36,Delivered,
ORD000048,CUST02621,REST0150,RIDER0707,2025-11-15 11:20:00,JBR (Dubai),132.22,LOYALTY25,33.06,6.98,Delivered,
ORD000049,CUST01648,REST0152,RIDER0327,2025-10-30 01:21:00,Al Reem (Abu Dhabi),310.56,LOYALTY25,77.64,9.22,Delivered,
ORD000050,CUST02566,REST0038,RIDER0456,2025-12-19 17:04:00,Marina (Dubai),40.09,,,9.19,Delivered,
ORD000051,CUST01005,REST0130,RIDER0355,2025-11-19 16:39:00,Al Nahda (Sharjah),117.44,SAVE20,23.49,5.86,Delivered,
ORD000052,CUST04018,REST0125,RIDER0611,2025-10-25 15:53:00,Al Reem (Abu Dhabi),67.97,FREESHIP,6.8,13.04,Delivered,
ORD000053,CUST00938,REST0041,RIDER0793,2025-10-22 16:17:00,Al Nuaimiya (Ajman),193.14,,,11.04,Cancelled,Address Issue
ORD000054,CUST00435,REST0019,RIDER0766,2025-10-24 20:36:00,Al Nahda (Sharjah),33.9,NEW50,16.95,10.35,In Progress,
ORD000055,CUST02147,REST0105,RIDER0199,2025-10-29 12:43:00,Al Nahda (Sharjah),63.64,SAVE20,12.73,13.63,Delivered,
ORD000056,CUST03280,REST0130,RIDER0327,2025-11-02 16:54:00,Al Nahda (Sharjah),192.9,SAVE20,38.58,14.1,In Progress,
ORD000057,CUST02156,REST0092,RIDER0724,2025-10-23 18:28:00,Al Majaz (Sharjah),52.72,,,6.29,Delivered,
ORD000058,CUST01364,REST0096,RIDER0068,2025-12-02 10:17:00,Corniche (Abu Dhabi),39.15,,,11.88,Delivered,
ORD000059,CUST02775,REST0062,RIDER0229,2025-12-07 21:52:00,Al Majaz (Sharjah),95.8,WELCOME10,9.58,7.68,Delivered,
ORD000060,CUST01704,REST0016,RIDER0184,2025-12-13 19:11:00,Corniche (Abu Dhabi),92.41,,,12.8,Delivered,
ORD000061,CUST04665,REST0094,RIDER0334,2025-10-07 05:20:00,Al Nuaimiya (Ajman),44.92,FLASH30,13.48,6.17,Delivered,
ORD000062,CUST04620,REST0150,RIDER0723,2025-12-05 20:39:00,JBR (Dubai),192.07,LOYALTY25,48.02,6.88,In Progress,
ORD000063,CUST02488,REST0142,RIDER0389,2025-10-23 21:29:00,Marina (Dubai),74.0,FREESHIP,7.4,7.13,Delivered,
ORD000064,CUST01619,REST0116,RIDER0068,2025-11-21 19:40:00,Al Nuaimiya (Ajman),70.6,WEEKEND15,10.59,11.23,Delivered,
ORD000065,CUST03660,REST0056,RIDER0287,2025-12-08 13:14:00,Khalidiya (Abu Dhabi),108.09,LOYALTY25,27.02,11.68,Delivered,
ORD000066,CUST00196,REST0065,RIDER0140,2025-11-27 23:34:00,Al Nahda (Sharjah),232.33,SAVE20,46.47,14.19,Delivered,
ORD000067,CUST02351,REST0173,RIDER0261,2025-12-12 08:46:00,Al Qasimia (Sharjah),52.1,SAVE20,10.42,5.74,Delivered,
ORD000068,CUST01660,REST0054,RIDER0599,2025-11-25 16:27:00,Al Nuaimiya (Ajman),57.24,FLASH30,17.17,11.84,Delivered,
ORD000069,CUST04607,REST0194,RIDER0103,2025-11-12 09:03:00,Deira (Dubai),98.77,WEEKEND15,14.82,5.12,Delivered,
ORD000070,CUST00064,REST0086,RIDER0156,2025-11-22 13:27:00,Al Nuaimiya (Ajman),51.25,,,10.09,Delivered,
ORD000071,CUST02745,REST0174,RIDER0400,2025-12-01 21:29:00,Corniche (Abu Dhabi),46.68,,11.67,9.6,Delivered,
ORD000072,CUST03686,REST0161,RIDER0455,2025-10-20 19:47:00,Al Nuaimiya (Ajman),109.54,WEEKEND15,16.43,5.45,Cancelled,Restaurant Unavailable
ORD000073,CUST02409,REST0050,RIDER0798,2025-10-02 19:56:00,Yas Island (Abu Dhabi),166.56,FREESHIP,16.66,6.87,Delivered,
ORD000074,CUST00438,REST0105,RIDER0106,2025-11-11 12:56:00,Al Nahda (Sharjah),33.69,,10.11,13.02,Delivered,
ORD000075,CUST04860,REST0022,RIDER0150,2025-12-03 21:50:00,JLT (Dubai),79.52,FREESHIP,7.95,8.04,Delivered,
ORD000076,CUST02556,REST0040,RIDER0223,2025-12-28 12:49:00,Al Reem (Abu Dhabi),181.59,,,9.82,Delivered,
ORD000077,CUST03036,REST0039,RIDER0685,2025-11-18 04:26:00,Al Qasimia (Sharjah),69.65,,,8.94,Delivered,
ORD000078,CUST01172,REST0105,RIDER0042,2025-12-21 17:15:00,Al Nahda (Sharjah),37.19,,,6.86,Delivered,
ORD000079,CUST02399,REST0169,RIDER0507,2025-11-02 12:31:00,Al Reem (Abu Dhabi),55.87,WEEKEND15,8.38,14.41,Delivered,
ORD000080,CUST02115,REST0068,RIDER0591,2025-11-20 09:11:00,Marina (Dubai),100.62,NEW50,50.31,5.53,Delivered,
ORD000081,CUST00390,REST0007,RIDER0485,2025-10-15 21:43:00,Downtown (Dubai),79.36,NEW50,39.68,9.62,Delivered,
ORD000082,CUST00519,REST0085,RIDER0752,2025-10-18 17:54:00,Al Reem (Abu Dhabi),49.5,,,8.36,Delivered,
ORD000083,CUST04176,REST0199,RIDER0712,2025-10-31 21:35:00,JLT (Dubai),73.17,WEEKEND15,10.98,11.67,Delivered,
ORD000084,CUST01184,REST0132,RIDER0685,2025-11-21 16:14:00,Business Bay (Dubai),49.91,WEEKEND15,7.49,11.47,Cancelled,Payment Issue
ORD000085,CUST00993,REST0076,RIDER0246,2025-12-02 06:18:00,JLT (Dubai),62.84,,,11.97,Delivered,
ORD000086,CUST02499,REST0091,RIDER0186,2025-10-25 03:17:00,Al Nuaimiya (Ajman),81.5,SAVE20,16.3,9.99,Delivered,
ORD000087,CUST03823,REST0187,RIDER0122,2025-12-03 21:25:00,Yas Island (Abu Dhabi),268.65,SAVE20,53.73,6.11,Delivered,
ORD000088,CUST00315,REST0084,RIDER0419,2025-10-15 04:10:00,Al Majaz (Sharjah),82.15,,,10.03,Delivered,
ORD000089,CUST02849,REST0154,RIDER0025,2025-11-04 17:29:00,Al Rashidiya (Ajman),57.48,NEW50,28.74,13.79,Delivered,
ORD000090,CUST00569,REST0031,RIDER0567,2025-11-29 11:27:00,Al Majaz (Sharjah),199.8,WEEKEND15,29.97,8.29,Delivered,
ORD000091,CUST00194,REST0099,RIDER0341,2025-12-05 18:55:00,Al Reem (Abu Dhabi),67.58,SAVE20,13.52,13.86,Cancelled,Address Issue
ORD000092,CUST00266,REST0197,RIDER0396,2025-12-26 11:22:00,JBR (Dubai),103.78,,,12.03,Delivered,
ORD000093,CUST04161,REST0052,RIDER0408,2025-11-03 04:14:00,Deira (Dubai),45.28,,,14.49,Delivered,
ORD000094,CUST00560,REST0112,RIDER0189,2025-11-28 18:47:00,Al Rashidiya (Ajman),64.46,LOYALTY25,16.11,9.88,Delivered,
ORD000095,CUST00241,REST0072,RIDER0641,2025-10-19 12:10:00,Deira (Dubai),37.45,WELCOME10,3.74,7.79,Delivered,
ORD000096,CUST02159,REST0021,RIDER0243,2025-10-13 16:42:00,Khalidiya (Abu Dhabi),75.89,LOYALTY25,18.97,5.73,Delivered,
ORD000097,CUST04216,REST0016,RIDER0491,2025-12-14 19:20:00,Corniche (Abu Dhabi),102.96,SAVE20,20.59,5.08,Delivered,
ORD000098,CUST01302,REST0179,RIDER0171,2025-12-06 18:44:00,Yas Island (Abu Dhabi),89.96,WEEKEND15,13.49,14.04,In Progress,
ORD000099,CUST02084,REST0016,RIDER0415,2025-10-03 12:38:00,Corniche (Abu Dhabi),95.47,FREESHIP,9.55,10.64,Delivered,
ORD000100,CUST00213,REST0146,RIDER0310,2025-12-10 19:30:00,Marina (Dubai),31.1,SAVE20,6.22,6.07,Delivered,
ORD000101,CUST02210,REST0175,RIDER0791,2025-12-24 21:14:00,Al Reem (Abu Dhabi),195.73,WELCOME10,19.57,8.51,Delivered,
ORD000102,CUST02854,REST0056,RIDER0240,2025-10-29 17:16:00,Khalidiya (Abu Dhabi),84.88,FLASH30,25.46,10.85,Delivered,
ORD000103,CUST02821,REST0156,RIDER0679,2025-11-12 18:24:00,Khalidiya (Abu Dhabi),97.34,FLASH30,29.2,14.22,Delivered,
ORD000104,CUST01639,REST0082,RIDER0540,2025-10-04 20:23:00,Al Majaz (Sharjah),108.34,SAVE20,21.67,12.41,Delivered,
ORD000105,CUST01554,REST0078,RIDER0566,2025-11-18 20:58:00,Yas Island (Abu Dhabi),66.49,,,9.19,Delivered,
ORD000106,CUST00519,REST0184,RIDER0371,2025-12-29 12:44:00,Yas Island (Abu Dhabi),301.4,,,5.4,Delivered,
ORD000107,CUST01810,REST0037,RIDER0452,2025-12-27 23:35:00,Downtown (Dubai),95.41,FREESHIP,9.54,11.41,Delivered,
ORD000108,CUST00495,REST0144,RIDER0059,2025-10-14 03:32:00,JBR (Dubai),49.93,LOYALTY25,12.48,8.64,Delivered,
ORD000109,CUST03807,REST0193,RIDER0776,2025-11-27 23:43:00,JBR (Dubai),157.73,LOYALTY25,39.43,5.7,Delivered,
ORD000110,CUST04831,REST0060,RIDER0084,2025-12-28 11:03:00,Al Rashidiya (Ajman),94.58,SAVE20,18.92,13.3,Delivered,
ORD000111,CUST04851,REST0189,RIDER0386,2025-10-04 13:00:00,Al Qasimia (Sharjah),61.02,WEEKEND15,9.15,14.37,Cancelled,Payment Issue
ORD000112,CUST04322,REST0011,RIDER0756,2025-12-03 20:37:00,Yas Island (Abu Dhabi),121.23,,,10.26,Delivered,
ORD000113,CUST02966,REST0126,RIDER0433,2025-11-08 11:55:00,Corniche (Abu Dhabi),54.2,LOYALTY25,13.55,6.16,Cancelled,Restaurant Unavailable
ORD000114,CUST03476,REST0066,RIDER0611,2025-11-29 10:10:00,Al Rashidiya (Ajman),310.99,WEEKEND15,46.65,9.02,Delivered,
ORD000115,CUST01408,REST0126,RIDER0175,2025-10-29 17:20:00,Corniche (Abu Dhabi),109.37,WEEKEND15,16.41,5.77,Delivered,
ORD000116,CUST03125,REST0032,RIDER0093,2025-10-27 18:24:00,Al Rashidiya (Ajman),57.93,,,13.02,Delivered,
ORD000117,CUST02244,REST0147,RIDER0228,2025-12-24 00:57:00,Khalidiya (Abu Dhabi),157.44,,,10.41,Delivered,
ORD000118,CUST02388,REST0056,RIDER0098,2025-12-05 14:49:00,Khalidiya (Abu Dhabi),113.71,,,8.93,Delivered,
ORD000119,CUST03768,REST0005,RIDER0496,2025-12-14 14:27:00,Yas Island (Abu Dhabi),75.8,,,12.3,Delivered,
ORD000120,CUST01389,REST0131,RIDER0195,2025-12-14 11:49:00,Al Nuaimiya (Ajman),58.22,WEEKEND15,8.73,13.37,In Progress,
ORD000121,CUST01566,REST0156,RIDER0567,2025-12-01 16:51:00,Khalidiya (Abu Dhabi),99.26,,,12.83,In Progress,
ORD000122,CUST04626,REST0090,RIDER0682,2025-11-27 09:05:00,Al Nuaimiya (Ajman),49.7,SAVE20,9.94,13.21,Delivered,
ORD000123,CUST00280,REST0094,RIDER0156,2025-10-02 12:45:00,Al Nuaimiya (Ajman),33.61,WEEKEND15,5.04,13.68,Cancelled,Customer Request
ORD000124,CUST02411,REST0072,RIDER0116,2025-11-02 18:05:00,Deira (Dubai),56.44,LOYALTY25,14.11,9.68,Delivered,
ORD000125,CUST04574,REST0100,RIDER0526,2025-11-02 20:21:00,JBR (Dubai),114.77,,,11.59,Delivered,
ORD000126,CUST03009,REST0029,RIDER0599,2025-10-28 17:14:00,JLT (Dubai),125.87,LOYALTY25,31.47,10.9,Delivered,
ORD000127,CUST02718,REST0059,RIDER0212,2025-10-14 07:53:00,Khalidiya (Abu Dhabi),154.77,,,6.28,Delivered,
ORD000128,CUST01229,REST0025,RIDER0540,2025-10-18 18:32:00,Deira (Dubai),166.89,SAVE20,33.38,7.39,Delivered,
ORD000129,CUST01686,REST0150,RIDER0348,2025-10-29 21:16:00,JBR (Dubai),193.53,,48.38,6.72,Delivered,
ORD000130,CUST04257,REST0097,RIDER0771,2025-12-29 15:11:00,Downtown (Dubai),162.59,,,11.49,Delivered,
ORD000131,CUST02783,REST0101,RIDER0271,2025-11-22 15:30:00,JLT (Dubai),81.92,SAVE20,16.38,13.63,Delivered,
ORD000132,CUST02539,REST0117,RIDER0695,2025-11-06 23:34:00,JLT (Dubai),127.42,LOYALTY25,31.86,12.58,Delivered,
ORD000133,CUST00495,REST0199,RIDER0485,2025-11-17 17:33:00,JLT (Dubai),57.55,,,8.77,Delivered,
ORD000134,CUST00087,REST0023,RIDER0081,2025-12-06 19:31:00,Khalidiya (Abu Dhabi),62.56,FREESHIP,6.26,11.58,Delivered,
ORD000135,CUST04817,REST0070,RIDER0077,2025-11-02 17:22:00,Marina (Dubai),36.34,WEEKEND15,5.45,9.1,Delivered,
ORD000136,CUST01855,REST0079,RIDER0170,2025-11-02 10:37:00,Al Nuaimiya (Ajman),173.83,,,7.74,In Progress,
ORD000137,CUST02977,REST0079,RIDER0108,2025-12-10 11:04:00,Al Nuaimiya (Ajman),75.68,LOYALTY25,18.92,13.94,Delivered,
ORD000138,CUST00406,REST0168,RIDER0482,2025-11-25 18:39:00,JLT (Dubai),108.38,SAVE20,21.68,7.05,In Progress,
ORD000139,CUST03403,REST0098,RIDER0478,2025-12-13 14:01:00,Corniche (Abu Dhabi),55.12,SAVE20,11.02,11.34,Delivered,
ORD000140,CUST04664,REST0014,RIDER0507,2025-12-20 13:58:00,Al Nuaimiya (Ajman),129.32,,,12.51,Delivered,
ORD000141,CUST02844,REST0029,RIDER0477,2025-12-29 02:30:00,JLT (Dubai),90.11,FREESHIP,9.01,11.19,Delivered,
ORD000142,CUST00615,REST0144,RIDER0251,2025-11-10 20:11:00,JBR (Dubai),59.21,WELCOME10,5.92,6.2,Delivered,
ORD000143,CUST02874,REST0087,RIDER0032,2025-10-29 20:38:00,Al Majaz (Sharjah),51.68,,,7.7,Delivered,
ORD000144,CUST03806,REST0010,RIDER0690,2025-12-21 14:45:00,Business Bay (Dubai),293.19,WELCOME10,29.32,5.15,Delivered,
ORD000145,CUST02006,REST0047,RIDER0371,2025-11-01 18:41:00,Deira (Dubai),67.67,LOYALTY25,16.92,12.59,Delivered,
ORD000146,CUST04405,REST0004,RIDER0730,2025-12-27 09:19:00,Corniche (Abu Dhabi),57.94,SAVE20,11.59,6.85,Delivered,
ORD000147,CUST03214,REST0012,RIDER0629,2025-11-01 15:13:00,JLT (Dubai),106.4,,,13.56,Delivered,
ORD000148,CUST04502,REST0042,RIDER0195,2025-10-27 13:10:00,JLT (Dubai),56.66,SAVE20,11.33,6.65,Delivered,
ORD000149,CUST03082,REST0004,RIDER0627,2025-10-05 18:59:00,Corniche (Abu Dhabi),87.0,,,8.72,Delivered,
ORD000150,CUST00648,REST0084,RIDER0451,2025-11-28 14:30:00,Al Majaz (Sharjah),117.31,FLASH30,35.19,6.42,Delivered,
ORD000151,CUST01522,REST0092,RIDER0260,2025-12-19 15:50:00,Al Majaz (Sharjah),104.13,SAVE20,20.83,10.33,Delivered,
ORD000152,CUST01021,REST0092,RIDER0306,2025-10-24 11:32:00,Al Majaz (Sharjah),73.34,,,10.94,Delivered,
ORD000153,CUST04559,REST0006,RIDER0087,2025-12-09 05:25:00,Business Bay (Dubai),77.81,WELCOME10,7.78,7.28,In Progress,
ORD000154,CUST03780,REST0142,RIDER0701,2025-11-30 21:01:00,Marina (Dubai),54.75,NEW50,27.38,9.07,Delivered,
ORD000155,CUST03374,REST0035,RIDER0597,2025-11-13 01:30:00,Downtown (Dubai),55.17,,,6.17,In Progress,
ORD000156,CUST01472,REST0175,RIDER0721,2025-12-29 11:54:00,Al Reem (Abu Dhabi),140.25,LOYALTY25,35.06,12.88,Delivered,
ORD000157,CUST00929,REST0186,RIDER0176,2025-10-27 14:34:00,Khalidiya (Abu Dhabi),37.33,SAVE20,7.47,12.87,Cancelled,Rider Unavailable
ORD000158,CUST03759,REST0065,RIDER0185,2025-12-07 12:26:00,Al Nahda (Sharjah),300.04,SAVE20,60.01,7.58,Delivered,
ORD000159,CUST02346,REST0147,RIDER0203,2025-12-08 16:04:00,Khalidiya (Abu Dhabi),160.62,SAVE20,32.12,7.64,In Progress,
ORD000160,CUST01121,REST0057,RIDER0429,2025-11-25 14:10:00,Business Bay (Dubai),63.6,WEEKEND15,9.54,11.1,Delivered,
ORD000161,CUST03046,REST0193,RIDER0013,2025-11-17 11:50:00,JBR (Dubai),93.24,SAVE20,18.65,11.09,Delivered,
ORD000162,CUST00216,REST0013,RIDER0187,2025-12-22 07:38:00,Yas Island (Abu Dhabi),83.96,FREESHIP,8.4,12.33,Delivered,
ORD000163,CUST01613,REST0136,RIDER0472,2025-11-29 09:27:00,JLT (Dubai),54.43,SAVE20,10.89,5.97,Delivered,
ORD000164,CUST02315,REST0018,RIDER0498,2025-12-15 14:15:00,Al Qasimia (Sharjah),44.38,,8.88,11.72,Delivered,
ORD000165,CUST00736,REST0163,RIDER0550,2025-12-15 20:51:00,JBR (Dubai),65.26,,,12.36,Delivered,
ORD000166,CUST04930,REST0087,RIDER0498,2025-10-17 08:39:00,Al Majaz (Sharjah),102.18,WELCOME10,10.22,7.79,Delivered,
ORD000167,CUST01053,REST0114,RIDER0121,2025-11-28 18:25:00,Marina (Dubai),44.91,LOYALTY25,11.23,7.58,Delivered,
ORD000168,CUST00642,REST0026,RIDER0473,2025-12-29 19:23:00,Al Nuaimiya (Ajman),89.44,WEEKEND15,13.42,11.65,Delivered,
ORD000169,CUST01025,REST0166,RIDER0112,2025-10-02 11:03:00,Deira (Dubai),189.93,FREESHIP,18.99,6.17,Cancelled,Restaurant Unavailable
ORD000170,CUST03824,REST0066,RIDER0696,2025-12-30 18:11:00,Al Rashidiya (Ajman),222.78,,,10.42,Delivered,
ORD000171,CUST02101,REST0026,RIDER0248,2025-11-15 18:17:00,Al Nuaimiya (Ajman),90.3,SAVE20,18.06,10.02,Delivered,
ORD000172,CUST02799,REST0126,RIDER0496,2025-10-07 18:54:00,Corniche (Abu Dhabi),110.64,,,11.73,Delivered,
ORD000173,CUST00115,REST0057,RIDER0735,2025-11-22 20:13:00,Business Bay (Dubai),66.05,,,11.06,In Progress,
ORD000174,CUST00185,REST0025,RIDER0529,2025-10-20 13:16:00,Deira (Dubai),76.69,,,13.14,Delivered,
ORD000175,CUST02198,REST0030,RIDER0222,2025-11-13 11:43:00,Al Majaz (Sharjah),55.86,,,5.61,Cancelled,Restaurant Unavailable
ORD000176,CUST04063,REST0135,RIDER0747,2025-10-20 16:40:00,Al Reem (Abu Dhabi),65.18,,,11.47,Delivered,
ORD000177,CUST04439,REST0027,RIDER0328,2025-11-09 06:15:00,Al Rashidiya (Ajman),77.28,LOYALTY25,19.32,12.18,Delivered,
ORD000178,CUST00442,REST0139,RIDER0699,2025-11-02 12:52:00,Business Bay (Dubai),175.21,FLASH30,,12.92,Delivered,
ORD000179,CUST02668,REST0101,RIDER0017,2025-12-05 20:41:00,JLT (Dubai),79.6,,,8.7,Delivered,
ORD000180,CUST04575,REST0136,RIDER0417,2025-12-29 15:19:00,JLT (Dubai),69.19,SAVE20,13.84,7.92,In Progress,
ORD000181,CUST01907,REST0011,RIDER0372,2025-11-17 13:51:00,Yas Island (Abu Dhabi),314.59,,,11.65,Delivered,
ORD000182,CUST04135,REST0126,RIDER0681,2025-10-14 11:42:00,Corniche (Abu Dhabi),92.2,FREESHIP,9.22,10.15,Cancelled,Restaurant Unavailable
ORD000183,CUST00662,REST0030,RIDER0021,2025-12-14 11:27:00,Al Majaz (Sharjah),110.26,WELCOME10,11.03,8.76,Delivered,
ORD000184,CUST04676,REST0094,RIDER0487,2025-12-22 11:59:00,Al Nuaimiya (Ajman),47.19,,,12.45,Delivered,
ORD000185,CUST03732,REST0116,RIDER0268,2025-11-06 20:40:00,Al Nuaimiya (Ajman),55.26,,,9.81,Delivered,
ORD000186,CUST04706,REST0015,RIDER0268,2025-12-26 23:00:00,Yas Island (Abu Dhabi),107.47,,,9.58,Delivered,
ORD000187,CUST03375,REST0184,RIDER0432,2025-12-10 15:15:00,Yas Island (Abu Dhabi),274.33,WEEKEND15,41.15,8.59,Delivered,
ORD000188,CUST01786,REST0035,RIDER0286,2025-10-28 07:03:00,Downtown (Dubai),62.72,SAVE20,12.54,5.49,Delivered,
ORD000189,CUST04690,REST0039,RIDER0241,2025-12-12 19:53:00,Al Qasimia (Sharjah),56.93,,,13.34,Cancelled,Payment Issue
ORD000190,CUST01357,REST0024,RIDER0009,2025-10-25 20:31:00,Khalidiya (Abu Dhabi),79.69,,,8.43,Delivered,
ORD000191,CUST01639,REST0008,RIDER0495,2025-10-21 21:28:00,Yas Island (Abu Dhabi),196.48,SAVE20,39.3,9.37,Delivered,
ORD000192,CUST03476,REST0043,RIDER0015,2025-12-26 17:07:00,Al Nahda (Sharjah),52.61,SAVE20,10.52,6.18,Delivered,
