event_id,order_id,restaurant_confirmed_time,food_ready_time,rider_picked_up_time,delivered_time,expected_delivery_time,is_on_time
EVT000078,ORD000078,2025-12-21 17:20:00,2025-12-21 17:43:00,2025-12-21 17:57:00,2025-12-21 18:35:00,2025-12-21 18:00:00,False
EVT000079,ORD000079,2025-11-02 12:36:00,2025-11-02 13:12:00,2025-11-02 13:22:00,2025-11-02 13:35:00,2025-11-02 13:16:00,False
EVT000080,ORD000080,2025-11-20 09:14:00,2025-11-20 09:38:00,2025-11-20 09:45:00,2025-11-20 10:11:00,2025-11-20 09:56:00,False
EVT000081,ORD000081,2025-10-15 21:47:00,2025-10-15 22:17:00,2025-10-15 22:23:00,2025-10-15 22:58:00,2025-10-15 22:28:00,False
EVT000082,ORD000082,2025-10-18 17:55:00,2025-10-18 18:02:00,2025-10-18 18:19:00,2025-10-18 18:40:00,2025-10-18 18:39:00,False
EVT000083,ORD000083,2025-10-31 21:39:00,2025-10-31 22:13:00,2025-10-31 22:23:00,2025-10-31 22:37:00,2025-10-31 22:20:00,False
EVT000084,ORD000084,2025-11-21 16:19:00,2025-11-21 16:48:00,2025-11-21 16:55:00,,2025-11-21 16:59:00,
EVT000085,ORD000085,2025-12-02 06:23:00,2025-12-02 06:48:00,2025-12-02 07:25:00,2025-12-02 07:57:00,2025-12-02 07:03:00,False
EVT000086,ORD000086,2025-10-25 03:20:00,2025-10-25 03:46:00,2025-10-25 04:26:00,2025-10-25 04:47:00,2025-10-25 04:02:00,False
EVT000087,ORD000087,2025-12-03 21:27:00,2025-12-03 22:20:00,2025-12-03 22:28:00,2025-12-03 22:53:00,2025-12-03 22:10:00,False
EVT000088,ORD000088,2025-10-15 04:14:00,2025-10-15 05:05:00,2025-10-15 05:18:00,2025-10-15 05:54:00,2025-10-15 04:55:00,False
EVT000089,ORD000089,2025-11-04 17:34:00,2025-11-04 17:45:00,2025-11-04 18:05:00,2025-11-04 18:45:00,2025-11-04 18:14:00,False
EVT000090,ORD000090,2025-11-29 11:31:00,2025-11-29 12:08:00,2025-11-29 12:36:00,2025-11-29 13:04:00,2025-11-29 12:12:00,False
EVT000091,ORD000091,2025-12-05 18:56:00,2025-12-05 19:10:00,2025-12-05 19:20:00,,2025-12-05 19:40:00,
EVT000092,ORD000092,2025-12-26 11:27:00,2025-12-26 12:15:00,2025-12-26 12:23:00,2025-12-26 12:53:00,2025-12-26 12:07:00,False
EVT000093,ORD000093,2025-11-03 04:19:00,2025-11-03 04:41:00,2025-11-03 04:49:00,2025-11-03 05:01:00,2025-11-03 04:59:00,False
EVT000094,ORD000094,2025-11-28 18:51:00,2025-11-28 19:18:00,2025-11-28 19:35:00,2025-11-28 19:58:00,2025-11-28 19:32:00,False
EVT000095,ORD000095,2025-10-19 12:13:00,2025-10-19 12:22:00,2025-10-19 12:35:00,2025-10-19 13:03:00,2025-10-19 12:55:00,False
EVT000096,ORD000096,2025-10-13 16:43:00,2025-10-13 17:31:00,2025-10-13 17:42:00,2025-10-13 18:06:00,2025-10-13 17:27:00,False
EVT000097,ORD000097,2025-12-14 19:25:00,2025-12-14 19:54:00,2025-12-14 20:09:00,2025-12-14 20:27:00,2025-12-14 20:05:00,False
EVT000098,ORD000098,2025-12-06 18:49:00,2025-12-06 19:14:00,2025-12-06 19:27:00,,2025-12-06 19:29:00,
EVT000099,ORD000099,2025-10-03 12:43:00,2025-10-03 13:13:00,2025-10-03 13:24:00,2025-10-03 13:43:00,2025-10-03 13:23:00,False
EVT000100,ORD000100,2025-12-10 19:35:00,2025-12-10 19:40:00,2025-12-10 19:45:00,2025-12-10 20:15:00,2025-12-10 20:15:00,True
EVT000101,ORD000101,2025-12-24 21:16:00,2025-12-24 21:54:00,2025-12-24 22:15:00,2025-12-24 22:36:00,2025-12-24 21:59:00,False
EVT000102,ORD000102,2025-10-29 17:17:00,2025-10-29 17:43:00,2025-10-29 17:55:00,2025-10-29 18:25:00,2025-10-29 18:01:00,False
EVT000103,ORD000103,2025-11-12 18:25:00,2025-11-12 18:44:00,2025-11-12 18:54:00,2025-11-12 19:18:00,2025-11-12 19:09:00,False
EVT000104,ORD000104,2025-10-04 20:25:00,2025-10-04 20:43:00,2025-10-04 20:49:00,2025-10-04 21:13:00,2025-10-04 21:08:00,False
EVT000105,ORD000105,2025-11-18 20:59:00,2025-11-18 21:28:00,2025-11-18 21:38:00,2025-11-18 22:12:00,2025-11-18 21:43:00,False
EVT000106,ORD000106,2025-12-29 12:48:00,2025-12-29 13:43:00,2025-12-29 13:57:00,2025-12-29 14:29:00,2025-12-29 13:29:00,False
EVT000107,ORD000107,2025-12-27 23:37:00,2025-12-28 00:00:00,2025-12-28 00:12:00,2025-12-28 00:51:00,2025-12-28 00:20:00,False
EVT000108,ORD000108,2025-10-14 03:34:00,2025-10-14 03:59:00,2025-10-14 04:18:00,2025-10-14 04:34:00,2025-10-14 04:17:00,False
EVT000109,ORD000109,2025-11-27 23:45:00,2025-11-28 00:25:00,2025-11-28 00:45:00,2025-11-28 01:00:00,2025-11-28 00:28:00,False
EVT000110,ORD000110,2025-12-28 11:08:00,2025-12-28 11:49:00,2025-12-28 11:55:00,2025-12-28 12:23:00,2025-12-28 11:48:00,False
EVT000111,ORD000111,2025-10-04 13:01:00,2025-10-04 13:37:00,2025-10-04 13:55:00,,2025-10-04 13:45:00,
EVT000112,ORD000112,2025-12-03 20:41:00,2025-12-03 21:35:00,2025-12-03 21:53:00,2025-12-03 22:10:00,2025-12-03 21:22:00,False
EVT000113,ORD000113,2025-11-08 11:57:00,2025-11-08 12:27:00,2025-11-08 12:40:00,,2025-11-08 12:40:00,
EVT000114,ORD000114,2025-11-29 10:13:00,2025-11-29 11:17:00,2025-11-29 11:28:00,2025-11-29 11:56:00,2025-11-29 10:55:00,False
EVT000115,ORD000115,2025-10-29 17:24:00,2025-10-29 18:00:00,2025-10-29 18:09:00,2025-10-29 18:44:00,2025-10-29 18:05:00,False
EVT000116,ORD000116,2025-10-27 18:27:00,2025-10-27 18:59:00,2025-10-27 19:15:00,2025-10-27 19:55:00,2025-10-27 19:09:00,False
EVT000117,ORD000117,2025-12-24 00:59:00,2025-12-24 01:40:00,2025-12-24 02:20:00,2025-12-24 02:58:00,2025-12-24 01:42:00,False
EVT000118,ORD000118,2025-12-05 14:52:00,2025-12-05 15:25:00,2025-12-05 15:42:00,2025-12-05 16:18:00,2025-12-05 15:34:00,False
EVT000119,ORD000119,2025-12-14 14:29:00,2025-12-14 14:50:00,2025-12-14 14:55:00,2025-12-14 15:34:00,2025-12-14 15:12:00,False
EVT000120,ORD000120,2025-12-14 11:54:00,2025-12-14 12:09:00,2025-12-14 12:31:00,,2025-12-14 12:34:00,
EVT000121,ORD000121,2025-12-01 16:55:00,2025-12-01 17:14:00,2025-12-01 17:21:00,,2025-12-01 17:36:00,
EVT000122,ORD000122,2025-11-27 09:07:00,2025-11-27 09:38:00,2025-11-27 09:54:00,2025-11-27 10:31:00,2025-11-27 09:50:00,False
EVT000123,ORD000123,2025-10-02 12:49:00,2025-10-02 13:01:00,2025-10-02 13:06:00,,2025-10-02 13:30:00,
EVT000124,ORD000124,2025-11-02 18:06:00,2025-11-02 18:16:00,2025-11-02 18:30:00,2025-11-02 18:48:00,2025-11-02 18:50:00,True
EVT000125,ORD000125,2025-11-02 20:23:00,2025-11-02 20:50:00,2025-11-02 21:04:00,2025-11-02 22:09:00,2025-11-02 21:06:00,False
EVT000126,ORD000126,2025-10-28 17:19:00,2025-10-28 17:56:00,2025-10-28 18:16:00,2025-10-28 18:45:00,2025-10-28 17:59:00,False
EVT000127,ORD000127,2025-10-14 07:58:00,2025-10-14 08:52:00,2025-10-14 09:27:00,2025-10-14 09:48:00,2025-10-14 08:38:00,False
EVT000128,ORD000128,2025-10-18 18:37:00,2025-10-18 19:11:00,2025-10-18 19:18:00,2025-10-18 19:47:00,2025-10-18 19:17:00,False
EVT000129,ORD000129,2025-10-29 21:17:00,2025-10-29 22:02:00,2025-10-29 22:11:00,2025-10-29 22:31:00,2025-10-29 22:01:00,False
EVT000130,ORD000130,2025-12-29 15:13:00,2025-12-29 15:47:00,2025-12-29 16:03:00,2025-12-29 16:14:00,2025-12-29 15:56:00,False
EVT000131,ORD000131,2025-11-22 15:33:00,2025-11-22 15:57:00,2025-11-22 16:05:00,2025-11-22 16:25:00,2025-11-22 16:15:00,False
EVT000132,ORD000132,2025-11-06 23:37:00,2025-11-07 00:20:00,2025-11-07 00:44:00,2025-11-07 01:02:00,2025-11-07 00:19:00,False
EVT000133,ORD000133,2025-11-17 17:37:00,2025-11-17 17:56:00,2025-11-17 18:16:00,2025-11-17 18:50:00,2025-11-17 18:18:00,False
EVT000134,ORD000134,2025-12-06 19:36:00,2025-12-06 19:55:00,2025-12-06 20:11:00,2025-12-06 20:31:00,2025-12-06 20:16:00,False
EVT000135,ORD000135,2025-11-02 17:27:00,2025-11-02 17:46:00,2025-11-02 18:04:00,2025-11-02 18:22:00,2025-11-02 18:07:00,False
EVT000136,ORD000136,2025-11-02 10:40:00,2025-11-02 11:27:00,2025-11-02 11:37:00,,2025-11-02 11:22:00,
EVT000137,ORD000137,2025-12-10 11:05:00,2025-12-10 11:37:00,2025-12-10 11:45:00,2025-12-10 11:59:00,2025-12-10 11:49:00,False
EVT000138,ORD000138,2025-11-25 18:41:00,2025-11-25 19:16:00,2025-11-25 19:36:00,,2025-11-25 19:24:00,
EVT000139,ORD000139,2025-12-13 14:04:00,2025-12-13 14:16:00,2025-12-13 14:21:00,2025-12-13 14:51:00,2025-12-13 14:46:00,False
EVT000140,ORD000140,2025-12-20 14:02:00,2025-12-20 14:42:00,2025-12-20 15:23:00,2025-12-20 15:47:00,2025-12-20 14:43:00,False
EVT000141,ORD000141,2025-12-29 02:32:00,2025-12-29 03:13:00,2025-12-29 03:30:00,2025-12-29 03:43:00,2025-12-29 03:15:00,False
EVT000142,ORD000142,2025-11-10 20:14:00,2025-11-10 20:33:00,2025-11-10 20:45:00,2025-11-10 21:00:00,2025-11-10 20:56:00,False
EVT000143,ORD000143,2025-10-29 20:41:00,2025-10-29 21:06:00,2025-10-29 21:23:00,2025-10-29 21:42:00,2025-10-29 21:23:00,False
EVT000144,ORD000144,2025-12-21 14:49:00,2025-12-21 15:34:00,2025-12-21 15:52:00,2025-12-21 16:22:00,2025-12-21 15:30:00,False
EVT000145,ORD000145,2025-11-01 18:44:00,2025-11-01 19:03:00,2025-11-01 19:19:00,2025-11-01 19:44:00,2025-11-01 19:26:00,False
EVT000146,ORD000146,2025-12-27 09:22:00,2025-12-27 09:39:00,2025-12-27 09:58:00,2025-12-27 10:35:00,2025-12-27 10:04:00,False
EVT000147,ORD000147,2025-11-01 15:17:00,2025-11-01 16:06:00,2025-11-01 16:13:00,2025-11-01 16:36:00,2025-11-01 15:58:00,False
EVT000148,ORD000148,2025-10-27 13:14:00,2025-10-27 13:32:00,2025-10-27 13:47:00,2025-10-27 14:00:00,2025-10-27 13:55:00,False
EVT000149,ORD000149,2025-10-05 19:04:00,2025-10-05 19:21:00,2025-10-05 19:37:00,2025-10-05 20:10:00,2025-10-05 19:44:00,False
EVT000150,ORD000150,2025-11-28 14:33:00,2025-11-28 15:26:00,2025-11-28 15:40:00,2025-11-28 15:59:00,2025-11-28 15:15:00,False
EVT000151,ORD000151,2025-12-19 15:55:00,2025-12-19 16:26:00,2025-12-19 16:46:00,2025-12-19 17:14:00,2025-12-19 16:35:00,False
EVT000152,ORD000152,2025-10-24 11:36:00,2025-10-24 12:01:00,2025-10-24 12:20:00,2025-10-24 12:37:00,2025-10-24 12:17:00,False
EVT000153,ORD000153,2025-12-09 05:28:00,2025-12-09 06:08:00,2025-12-09 06:24:00,,2025-12-09 06:10:00,
EVT000154,ORD000154,2025-11-30 21:04:00,2025-11-30 21:46:00,2025-11-30 22:00:00,2025-11-30 22:28:00,2025-11-30 21:46:00,False
EVT000155,ORD000155,2025-11-13 01:32:00,2025-11-13 02:06:00,2025-11-13 02:29:00,,2025-11-13 02:15:00,
EVT000156,ORD000156,2025-12-29 11:55:00,2025-12-29 12:40:00,2025-12-29 12:58:00,2025-12-29 13:25:00,2025-12-29 12:39:00,False
EVT000157,ORD000157,2025-10-27 14:37:00,2025-10-27 14:58:00,2025-10-27 15:18:00,,2025-10-27 15:19:00,
EVT000158,ORD000158,2025-12-07 12:30:00,2025-12-07 13:35:00,2025-12-07 13:48:00,2025-12-07 14:08:00,2025-12-07 13:11:00,False
EVT000159,ORD000159,2025-12-08 16:09:00,2025-12-08 16:43:00,2025-12-08 16:59:00,,2025-12-08 16:49:00,
EVT000160,ORD000160,2025-11-25 14:12:00,2025-11-25 14:34:00,2025-11-25 15:05:00,2025-11-25 15:33:00,2025-11-25 14:55:00,False
EVT000161,ORD000161,2025-11-17 11:53:00,2025-11-17 12:19:00,2025-11-17 12:35:00,2025-11-17 12:52:00,2025-11-17 12:35:00,False
EVT000162,ORD000162,2025-12-22 07:43:00,2025-12-22 08:10:00,2025-12-22 08:27:00,2025-12-22 09:04:00,2025-12-22 08:23:00,False
EVT000163,ORD000163,2025-11-29 09:29:00,2025-11-29 09:43:00,2025-11-29 09:59:00,2025-11-29 10:21:00,2025-11-29 10:12:00,False
EVT000164,ORD000164,2025-12-15 14:19:00,2025-12-15 14:45:00,2025-12-15 15:16:00,2025-12-15 15:34:00,2025-12-15 15:00:00,False
EVT000165,ORD000165,2025-12-15 20:52:00,2025-12-15 21:19:00,2025-12-15 21:32:00,2025-12-15 21:43:00,2025-12-15 21:36:00,False
EVT000166,ORD000166,2025-10-17 08:43:00,2025-10-17 08:57:00,2025-10-17 09:07:00,2025-10-17 09:41:00,2025-10-17 09:24:00,False
EVT000167,ORD000167,2025-11-28 18:29:00,2025-11-28 18:44:00,2025-11-28 18:49:00,2025-11-28 19:25:00,2025-11-28 19:10:00,False
EVT000168,ORD000168,2025-12-29 19:24:00,2025-12-29 20:06:00,2025-12-29 20:12:00,2025-12-29 20:45:00,2025-12-29 20:08:00,False
EVT000169,ORD000169,2025-10-02 11:04:00,2025-10-02 11:37:00,2025-10-02 11:45:00,,2025-10-02 11:48:00,
EVT000170,ORD000170,2025-12-30 18:14:00,2025-12-30 19:17:00,2025-12-30 20:00:00,2025-12-30 20:15:00,2025-12-30 18:56:00,False
EVT000171,ORD000171,2025-11-15 18:20:00,2025-11-15 19:01:00,2025-11-15 19:16:00,2025-11-15 19:30:00,2025-11-15 19:02:00,False
EVT000172,ORD000172,2025-10-07 18:55:00,2025-10-07 19:38:00,2025-10-07 19:45:00,2025-10-07 20:11:00,2025-10-07 19:39:00,False
EVT000173,ORD000173,2025-11-22 20:14:00,2025-11-22 20:34:00,2025-11-22 20:42:00,,2025-11-22 20:58:00,
EVT000174,ORD000174,2025-10-20 13:19:00,2025-10-20 13:55:00,2025-10-20 14:02:00,2025-10-20 14:17:00,2025-10-20 14:01:00,False
EVT000175,ORD000175,2025-11-13 11:44:00,2025-11-13 12:04:00,2025-11-13 12:39:00,,2025-11-13 12:28:00,
EVT000176,ORD000176,2025-10-20 16:43:00,2025-10-20 17:01:00,2025-10-20 17:10:00,2025-10-20 17:29:00,2025-10-20 17:25:00,False
EVT000177,ORD000177,2025-11-09 06:19:00,2025-11-09 06:35:00,2025-11-09 07:05:00,2025-11-09 07:23:00,2025-11-09 07:00:00,False
EVT000178,ORD000178,2025-11-02 12:57:00,2025-11-02 13:47:00,2025-11-02 14:02:00,2025-11-02 14:42:00,2025-11-02 13:37:00,False
EVT000179,ORD000179,2025-12-05 20:42:00,2025-12-05 21:22:00,2025-12-05 21:38:00,2025-12-05 22:09:00,2025-12-05 21:26:00,False
EVT000180,ORD000180,2025-12-29 15:23:00,2025-12-29 15:30:00,2025-12-29 15:44:00,,2025-12-29 16:04:00,
EVT000181,ORD000181,2025-11-17 13:54:00,2025-11-17 15:00:00,2025-11-17 15:13:00,2025-11-17 15:35:00,2025-11-17 14:36:00,False
